gap_year,location,living,gender,race,pre_o,sports,best,p1_meet,p1_closeness,p2_meet,p2_closeness,p3_meet,p3_closeness,p4_meet,p4_closeness,contact,group_size,in_person,satisfaction,fourth_id,first_id,id,third_id,second_id,most_connected
No,The Yard,Suitemates,Female,Other,FOP: First-Year Outdoor Program,Yes (Club),"Living in close proximity (same floor, same house, etc.)","In-person (The courtyard, the line at the dining hall, etc.)",5,Club/co-curricular activity,5,Roommate/Suitemate,4,Friend of a friend,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)","NA",A restaurant in the area,Satisfied,501,1095,262,441,284,284
No,A River House,Suitemates,Male,Other,None,No,"Living in close proximity (same floor, same house, etc.)","Living in close proximity (same floor, same house/dorm, etc.)",3,"Living in close proximity (same floor, same house/dorm, etc.)",3,Already knew them before coming to Harvard,4,"Living in close proximity (same floor, same house/dorm, etc.)",3,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",3,A restaurant in the area,Dissatisfied,1069,748,264,861,674,1005
No,A River House,Suitemates,Male,White,None,Yes (Club),"Living in close proximity (same floor, same house, etc.)",Virtual entryway,4,Virtual entryway,4,Virtual entryway,4,Virtual entryway,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",10,The courtyard of your house/dorm,Very Satisfied,198,952,268,918,957,1005
No,A River House,Suitemates,Male,White,FOP: First-Year Outdoor Program,No,Already knew them before coming to Harvard,Already knew them before coming to Harvard,5,"Living in close proximity (same floor, same house/dorm, etc.)",3,Pre-orientation program,2,"Living in close proximity (same floor, same house/dorm, etc.)",2,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",1,A restaurant in the area,Neutral,499,409,272,289,856,574
No,Union Dorm,Single,Male,Black or African American,FUP: First-Year Urban Program,No,Already knew them before coming to Harvard,Already knew them before coming to Harvard,4,Already knew them before coming to Harvard,5,Already knew them before coming to Harvard,3,Already knew them before coming to Harvard,3,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",10,The Yard,Neutral,582,917,279,778,505,536
No,The Yard,Suitemates,Female,Other,FYRE: First-Year Retreat and Experience,No,Club/co-curricular activity,"In-person (The courtyard, the line at the dining hall, etc.)",5,Roommate/Suitemate,5,"Social media (GroupMe, Instagram, Discord, etc.)",4,"In-person (The courtyard, the line at the dining hall, etc.)",4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",3,The Yard,Satisfied,1019,915,282,645,449,289
No,The Yard,Suitemates,Male,White,None,No,Already knew them before coming to Harvard,Roommate/Suitemate,4,Roommate/Suitemate,4,Breakout room of a class,4,Breakout room of a class,2,Hang out in room/suite,2,The Yard,Very Dissatisfied,394,934,283,929,819,934
No,The Yard,Suitemates,Female,Black or African American,FOP: First-Year Outdoor Program,No,Breakout room of a class,Already knew them before coming to Harvard,5,Already knew them before coming to Harvard,4,Friend of a friend,5,Already knew them before coming to Harvard,4,Virtual study group,"NA",The River,Very Satisfied,289,714,285,28,287,289
No,The Yard,Suitemates,Female,Other,FOP: First-Year Outdoor Program,Yes (Club),Club/co-curricular activity,Already knew them before coming to Harvard,5,Already knew them before coming to Harvard,4,Friend of a friend,4,Friend of a friend,3,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",5,The courtyard of your house/dorm,Very Satisfied,28,427,287,714,285,718
No,At Home (international student),Not Applicable,Male,Asian,FIP: First-Year International Program,No,"Living in close proximity (same floor, same house, etc.)",Already knew them before coming to Harvard,4,Already knew them before coming to Harvard,3,Datamatch,1,Pre-orientation program,1,"Social media (GroupMe, Instagram, Discord, texting, etc.)",0,Not Applicable,Very Dissatisfied,289,966,288,53,252,289
No,Union Dorm,Single,Male,Other,FYRE: First-Year Retreat and Experience,No,Roommate/Suitemate,Zoom lecture,2,Zoom lecture,2,Virtual entryway,1,Virtual entryway,1,Virtual study group,0,The Square,Dissatisfied,451,695,290,789,835,48
No,The Yard,Suitemates,Female,Black or African American,None,No,"Social media (GroupMe, Instagram, Discord, etc.)","Social media (GroupMe, Instagram, Discord, etc.)",5,Roommate/Suitemate,3,"Social media (GroupMe, Instagram, Discord, etc.)",3,"In-person (The courtyard, the line at the dining hall, etc.)",4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",15,Exploring the area,Very Satisfied,651,663,291,281,29,663
No,The Yard,Not Applicable,Male,Asian,FIP: First-Year International Program,No,Pre-orientation program,Pre-orientation program,4,"Social media (GroupMe, Instagram, Discord, etc.)",3,Virtual entryway,4,Zoom lecture,4,"Social media (GroupMe, Instagram, Discord, texting, etc.)",0,A restaurant in the area,Neutral,904,1011,292,204,1086,645
No,The Yard,Suitemates,Female,White,None,Yes (Club),Roommate/Suitemate,Roommate/Suitemate,4,"In-person (The courtyard, the line at the dining hall, etc.)",4,"In-person (The courtyard, the line at the dining hall, etc.)",3,"Social media (GroupMe, Instagram, Discord, etc.)",4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",1,A restaurant in the area,Neutral,1074,561,293,581,1080,289
No,A River House,Suitemates,Female,Asian,FYRE: First-Year Retreat and Experience,No,"Living in close proximity (same floor, same house, etc.)","In-person (The courtyard, the line at the dining hall, etc.)",4,"Living in close proximity (same floor, same house/dorm, etc.)",2,"Living in close proximity (same floor, same house/dorm, etc.)",1,Friend of a friend,1,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",4,The Square,Neutral,286,974,294,484,110,289
No,The Yard,Suitemates,Male,Black or African American,None,No,Roommate/Suitemate,Roommate/Suitemate,4,"In-person (The courtyard, the line at the dining hall, etc.)",4,Roommate/Suitemate,4,"In-person (The courtyard, the line at the dining hall, etc.)",4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",1,Exploring the area,Satisfied,191,267,301,165,247,308
No,The Quad,Suitemates,Female,Asian,LIFE: Leadership Institute for the First-Year Experience,No,Friend of a friend,Roommate/Suitemate,4,Friend of a friend,4,"Living in close proximity (same floor, same house/dorm, etc.)",4,Already knew them before coming to Harvard,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",2,The Square,Satisfied,641,31,304,573,812,318
No,The Yard,Suitemates,Female,Asian,FAP: First-Year Arts Program,No,"Social media (GroupMe, Instagram, Discord, etc.)",Roommate/Suitemate,4,Zoom lecture,4,"Social media (GroupMe, Instagram, Discord, etc.)",3,"In-person (The courtyard, the line at the dining hall, etc.)",4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",5,A restaurant in the area,Satisfied,74,863,305,728,286,289
No,The Yard,Suitemates,Female,Asian,FOP: First-Year Outdoor Program,Yes (Intramural),"Social media (GroupMe, Instagram, Discord, etc.)",Classfinds,4,Classfinds,2,Roommate/Suitemate,3,Roommate/Suitemate,3,Hang out in room/suite,2,Exploring the area,Dissatisfied,289,402,306,289,245,81
No,At Home (international student),Not Applicable,Male,Asian,FIP: First-Year International Program,Yes (Club),Pre-orientation program,Roommate/Suitemate,5,Pre-orientation program,5,Pre-orientation program,4,Club/co-curricular activity,3,Shared class,0,Not Applicable,Neutral,1,864,307,922,359,289
Yes,The Quad,Suitemates,Male,White,LIFE: Leadership Institute for the First-Year Experience,No,Club/co-curricular activity,Club/co-curricular activity,5,Club/co-curricular activity,5,Club/co-curricular activity,5,Club/co-curricular activity,5,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",5,The River,Very Satisfied,384,734,311,786,1074,1075
Yes,The Yard,Suitemates,Female,Other,FOP: First-Year Outdoor Program,No,"Living in close proximity (same floor, same house, etc.)",Pre-orientation program,5,Friend of a friend,4,"Living in close proximity (same floor, same house/dorm, etc.)",4,Already knew them before coming to Harvard,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",1,The Yard,Satisfied,35,14,314,477,180,289
No,The Yard,Suitemates,Female,White,None,Yes (Varsity),Roommate/Suitemate,Roommate/Suitemate,4,Already knew them before coming to Harvard,5,Friend of a friend,4,Friend of a friend,4,"Social media (GroupMe, Instagram, Discord, texting, etc.)",10,The Yard,Neutral,636,883,316,563,507,883
No,A River House,Suitemates,Female,Asian,FAP: First-Year Arts Program,Yes (Varsity),"Social media (GroupMe, Instagram, Discord, etc.)","Social media (GroupMe, Instagram, Discord, etc.)",5,Club/co-curricular activity,4,"Social media (GroupMe, Instagram, Discord, etc.)",3,"Social media (GroupMe, Instagram, Discord, etc.)",3,"Social media (GroupMe, Instagram, Discord, texting, etc.)",3,The Yard,Satisfied,414,626,318,998,132,626
No,The Yard,Suitemates,Female,Asian,FAP: First-Year Arts Program,No,"Social media (GroupMe, Instagram, Discord, etc.)","Social media (GroupMe, Instagram, Discord, etc.)",5,Pre-orientation program,5,"Social media (GroupMe, Instagram, Discord, etc.)",5,Zoom lecture,3,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",21,The Yard,Satisfied,624,972,325,851,765,765
No,The Yard,Suitemates,Female,Other,FOP: First-Year Outdoor Program,Yes (Varsity),Club/co-curricular activity,Zoom lecture,4,Roommate/Suitemate,3,Roommate/Suitemate,2,Club/co-curricular activity,3,Virtual study group,1,The Square,Dissatisfied,837,546,326,84,392,578
No,A River House,Suitemates,Female,Other,None,No,Already knew them before coming to Harvard,Already knew them before coming to Harvard,4,Already knew them before coming to Harvard,4,Roommate/Suitemate,4,Roommate/Suitemate,4,Hang out in room/suite,10,The Square,Dissatisfied,484,822,327,897,777,409
Yes,The Quad,Suitemates,Male,Other,FOP: First-Year Outdoor Program,Yes (Varsity),Club/co-curricular activity,Club/co-curricular activity,4,Club/co-curricular activity,4,Club/co-curricular activity,4,Club/co-curricular activity,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",2,A restaurant in the area,Satisfied,1060,526,331,168,134,289
Yes,A River House,Suitemates,Male,White,None,No,Breakout room of a class,Club/co-curricular activity,3,Club/co-curricular activity,2,Breakout room of a class,4,"Living in close proximity (same floor, same house/dorm, etc.)",4,Shared club/co-curricular activity,2,The Yard,Neutral,902,532,335,696,393,393
No,At Home (international student),Not Applicable,Prefer not to say,Black or African American,None,No,"Living in close proximity (same floor, same house, etc.)","Social media (GroupMe, Instagram, Discord, etc.)",5,Virtual entryway,2,Zoom lecture,2,Breakout room of a class,2,Shared class,0,Not Applicable,Very Dissatisfied,122,744,344,1039,193,442
Yes,A River House,Single,Female,White,FAP: First-Year Arts Program,Yes (Varsity),"Living in close proximity (same floor, same house, etc.)","Living in close proximity (same floor, same house/dorm, etc.)",4,"Living in close proximity (same floor, same house/dorm, etc.)",4,Friend of a friend,4,Friend of a friend,3,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",1,The Yard,Neutral,818,616,349,166,1027,243
No,The Quad,Suitemates,Male,Hispanic or Latino,None,Yes (Intramural),Roommate/Suitemate,Roommate/Suitemate,5,Roommate/Suitemate,5,"Living in close proximity (same floor, same house/dorm, etc.)",4,Friend of a friend,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",1,A restaurant in the area,Satisfied,315,25,350,742,173,318
No,Union Dorm,Suitemates,Female,Asian,FOP: First-Year Outdoor Program,No,Already knew them before coming to Harvard,Already knew them before coming to Harvard,5,Roommate/Suitemate,5,Already knew them before coming to Harvard,4,"Social media (GroupMe, Instagram, Discord, etc.)",4,"Social media (GroupMe, Instagram, Discord, texting, etc.)",3,A restaurant in the area,Neutral,300,981,351,130,601,466
No,The Yard,Suitemates,Female,Hispanic or Latino,None,No,Already knew them before coming to Harvard,Club/co-curricular activity,2,Club/co-curricular activity,2,Roommate/Suitemate,1,"NA",1,Shared club/co-curricular activity,0,The Square,Very Dissatisfied,289,993,353,424,289,289
No,The Quad,Suitemates,Female,Hispanic or Latino,FYRE: First-Year Retreat and Experience,No,"Living in close proximity (same floor, same house, etc.)",Already knew them before coming to Harvard,4,Friend of a friend,4,Roommate/Suitemate,4,"Living in close proximity (same floor, same house/dorm, etc.)",4,Hang out in room/suite,3,The Square,Satisfied,768,546,354,949,694,291
No,The Yard,Single,Male,White,FAP: First-Year Arts Program,Yes (Club),"Living in close proximity (same floor, same house, etc.)",Already knew them before coming to Harvard,4,Virtual entryway,5,"Living in close proximity (same floor, same house/dorm, etc.)",4,"Living in close proximity (same floor, same house/dorm, etc.)",4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",10,The Square,Satisfied,610,117,357,329,739,59
No,A River House,Suitemates,Female,Other,None,Yes (Varsity),"Living in close proximity (same floor, same house, etc.)","Living in close proximity (same floor, same house/dorm, etc.)",5,"Living in close proximity (same floor, same house/dorm, etc.)",5,"In-person (The courtyard, the line at the dining hall, etc.)",3,Friend of a friend,4,Hang out in room/suite,10,Indoor gatherings,Neutral,666,886,358,368,388,886
No,The Yard,Suitemates,Male,Hispanic or Latino,FOP: First-Year Outdoor Program,No,Friend of a friend,"In-person (The courtyard, the line at the dining hall, etc.)",4,"In-person (The courtyard, the line at the dining hall, etc.)",4,"Social media (GroupMe, Instagram, Discord, etc.)",4,Already knew them before coming to Harvard,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",15,A restaurant in the area,Satisfied,312,186,360,256,1045,289
No,The Yard,Suitemates,Male,Black or African American,None,No,"Living in close proximity (same floor, same house, etc.)",Roommate/Suitemate,4,Friend of a friend,4,Friend of a friend,4,Roommate/Suitemate,3,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",9,The Yard,Satisfied,160,445,362,1092,29,450
No,The Quad,Suitemates,Female,White,None,No,Club/co-curricular activity,Roommate/Suitemate,4,Roommate/Suitemate,4,"Living in close proximity (same floor, same house/dorm, etc.)",3,Already knew them before coming to Harvard,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",1,A restaurant in the area,Dissatisfied,346,779,364,486,831,962
Yes,At Home (international student),Not Applicable,Female,White,FIP: First-Year International Program,No,"Living in close proximity (same floor, same house, etc.)",Roommate/Suitemate,4,Roommate/Suitemate,3,"Social media (GroupMe, Instagram, Discord, etc.)",3,Pre-orientation program,3,"Social media (GroupMe, Instagram, Discord, texting, etc.)",2,Not Applicable,Very Dissatisfied,50,928,366,111,60,318
Yes,A River House,Suitemates,Female,Asian,None,No,Club/co-curricular activity,"Living in close proximity (same floor, same house/dorm, etc.)",4,Zoom lecture,4,Club/co-curricular activity,3,Roommate/Suitemate,3,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",6,Exploring the area,Satisfied,156,298,367,939,879,389
Yes,Union Dorm,Single,Female,White,None,No,Friend of a friend,Friend of a friend,4,Already knew them before coming to Harvard,4,Already knew them before coming to Harvard,3,Friend of a friend,3,"Social media (GroupMe, Instagram, Discord, texting, etc.)",2,A restaurant in the area,Neutral,369,289,368,369,369,368
Yes,A River House,Single,Female,White,FOP: First-Year Outdoor Program,No,Roommate/Suitemate,Virtual entryway,2,Virtual entryway,1,"Living in close proximity (same floor, same house/dorm, etc.)",1,"Living in close proximity (same floor, same house/dorm, etc.)",1,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",1,The courtyard of your house/dorm,Very Dissatisfied,289,756,372,289,289,533
Yes,At Home (in the US),Not Applicable,Male,White,None,No,Roommate/Suitemate,Club/co-curricular activity,3,Breakout room of a class,3,"NA",1,"NA",1,"Social media (GroupMe, Instagram, Discord, texting, etc.)",0,Not Applicable,Dissatisfied,289,593,374,289,289,289
No,A River House,Suitemates,Female,Other,FAP: First-Year Arts Program,No,Club/co-curricular activity,Club/co-curricular activity,3,Pre-orientation program,3,Virtual entryway,2,Already knew them before coming to Harvard,1,"Social media (GroupMe, Instagram, Discord, texting, etc.)",4,The Yard,Dissatisfied,614,688,375,606,855,688
No,The Quad,Suitemates,Female,Black or African American,None,No,Club/co-curricular activity,Already knew them before coming to Harvard,3,Already knew them before coming to Harvard,2,Roommate/Suitemate,2,Roommate/Suitemate,2,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",0,The Yard,Dissatisfied,797,469,376,588,506,291
No,The Yard,Suitemates,Male,White,None,No,Roommate/Suitemate,Friend of a friend,3,Friend of a friend,3,Virtual entryway,3,Friend of a friend,2,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",0,Exploring the area,Neutral,562,581,379,271,1080,271
No,At Home (in the US),Not Applicable,Female,Asian,FUP: First-Year Urban Program,No,Already knew them before coming to Harvard,Already knew them before coming to Harvard,2,Already knew them before coming to Harvard,2,Already knew them before coming to Harvard,2,Club/co-curricular activity,3,"Social media (GroupMe, Instagram, Discord, texting, etc.)",0,Not Applicable,Dissatisfied,1014,31,386,397,119,289
No,The Quad,Suitemates,Male,Other,None,No,Friend of a friend,Already knew them before coming to Harvard,5,Already knew them before coming to Harvard,4,Already knew them before coming to Harvard,4,"Living in close proximity (same floor, same house/dorm, etc.)",4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",10,The River,Neutral,239,690,389,873,172,74
No,The Yard,Suitemates,Male,White,LIFE: Leadership Institute for the First-Year Experience,No,Friend of a friend,"Social media (GroupMe, Instagram, Discord, etc.)",4,Club/co-curricular activity,4,Friend of a friend,3,"Living in close proximity (same floor, same house/dorm, etc.)",3,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",2,The Yard,Dissatisfied,830,858,393,19,521,645
No,The Yard,Suitemates,Female,White,FAP: First-Year Arts Program,Yes (Club),Roommate/Suitemate,Already knew them before coming to Harvard,5,Roommate/Suitemate,4,Roommate/Suitemate,4,Friend of a friend,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",3,A restaurant in the area,Dissatisfied,1050,514,397,504,681,645
No,The Yard,Suitemates,Female,Asian,LIFE: Leadership Institute for the First-Year Experience,No,Friend of a friend,"Living in close proximity (same floor, same house/dorm, etc.)",4,"In-person (The courtyard, the line at the dining hall, etc.)",4,Friend of a friend,4,"Living in close proximity (same floor, same house/dorm, etc.)",3,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",0,A restaurant in the area,Very Satisfied,69,310,398,858,393,398
No,A River House,Suitemates,Female,White,None,No,Friend of a friend,Already knew them before coming to Harvard,4,"In-person (The courtyard, the line at the dining hall, etc.)",4,"In-person (The courtyard, the line at the dining hall, etc.)",4,"In-person (The courtyard, the line at the dining hall, etc.)",4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",0,Indoor gatherings,Very Satisfied,79,813,405,30,592,119
No,A River House,Suitemates,Female,Hispanic or Latino,None,No,Virtual entryway,Virtual entryway,5,Virtual entryway,2,Virtual entryway,2,Virtual entryway,2,"Social media (GroupMe, Instagram, Discord, texting, etc.)",0,A restaurant in the area,Satisfied,1050,738,406,549,538,1048
No,The Quad,Suitemates,Male,White,None,No,Friend of a friend,Already knew them before coming to Harvard,5,Friend of a friend,4,Roommate/Suitemate,3,Friend of a friend,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",1,Indoor gatherings,Very Satisfied,1097,597,408,590,337,702
No,A River House,Suitemates,Male,White,None,Yes (Club),"Living in close proximity (same floor, same house, etc.)",Already knew them before coming to Harvard,5,"Living in close proximity (same floor, same house/dorm, etc.)",5,Roommate/Suitemate,3,"Living in close proximity (same floor, same house/dorm, etc.)",4,Hang out in room/suite,20,Indoor gatherings,Satisfied,814,272,409,196,910,814
No,The Yard,Single,Male,Black or African American,LIFE: Leadership Institute for the First-Year Experience,No,Already knew them before coming to Harvard,Already knew them before coming to Harvard,4,Already knew them before coming to Harvard,3,Friend of a friend,4,"In-person (The courtyard, the line at the dining hall, etc.)",3,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",6,The Yard,Neutral,497,241,418,1020,534,291
Yes,The Yard,Suitemates,Female,White,FOP: First-Year Outdoor Program,No,Roommate/Suitemate,Roommate/Suitemate,4,Friend of a friend,3,Already knew them before coming to Harvard,3,Pre-orientation program,2,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",2,A restaurant in the area,Neutral,853,723,419,76,108,76
No,At Home (in the US),Not Applicable,Female,Asian,FAP: First-Year Arts Program,No,Already knew them before coming to Harvard,Already knew them before coming to Harvard,3,Breakout room of a class,2,Pre-orientation program,1,Pre-orientation program,1,"Social media (GroupMe, Instagram, Discord, texting, etc.)",0,Not Applicable,Neutral,113,320,421,255,656,289
No,The Yard,Suitemates,Female,Other,FOP: First-Year Outdoor Program,No,Club/co-curricular activity,Club/co-curricular activity,4,Club/co-curricular activity,4,"In-person (The courtyard, the line at the dining hall, etc.)",4,Zoom lecture,4,Shared class,5,The Yard,Satisfied,721,131,424,932,601,289
No,A River House,Suitemates,Female,Asian,FOP: First-Year Outdoor Program,No,Already knew them before coming to Harvard,Already knew them before coming to Harvard,5,Friend of a friend,4,Already knew them before coming to Harvard,4,Already knew them before coming to Harvard,4,Shared class,5,The courtyard of your house/dorm,Satisfied,553,287,427,714,28,466
No,The Quad,Single,Female,White,FOP: First-Year Outdoor Program,Yes (Varsity),"Living in close proximity (same floor, same house, etc.)","Living in close proximity (same floor, same house/dorm, etc.)",5,Virtual entryway,2,"Living in close proximity (same floor, same house/dorm, etc.)",3,Pre-orientation program,2,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",3,Exploring the area,Neutral,101,1079,428,956,460,1079
No,The Quad,Suitemates,Male,White,None,Yes (Varsity),Club/co-curricular activity,Virtual entryway,3,Roommate/Suitemate,2,Club/co-curricular activity,4,Club/co-curricular activity,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",6,The River,Dissatisfied,82,1012,429,894,239,894
No,A River House,Single,Female,Black or African American,FAP: First-Year Arts Program,No,"Living in close proximity (same floor, same house, etc.)","Living in close proximity (same floor, same house/dorm, etc.)",3,"Living in close proximity (same floor, same house/dorm, etc.)",3,"Living in close proximity (same floor, same house/dorm, etc.)",3,"Living in close proximity (same floor, same house/dorm, etc.)",3,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",1,A restaurant in the area,Neutral,540,146,430,155,158,915
No,The Yard,Suitemates,Male,Asian,FYRE: First-Year Retreat and Experience,No,Friend of a friend,Friend of a friend,4,Roommate/Suitemate,3,Friend of a friend,4,Already knew them before coming to Harvard,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",10,Exploring the area,Satisfied,631,732,431,139,695,310
No,A River House,Suitemates,Male,White,None,No,Breakout room of a class,"Living in close proximity (same floor, same house/dorm, etc.)",5,Breakout room of a class,4,Breakout room of a class,3,Breakout room of a class,3,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",2,Exploring the area,Satisfied,174,35,432,522,611,35
No,The Yard,Single,Male,White,None,Yes (Varsity),"Living in close proximity (same floor, same house, etc.)",Already knew them before coming to Harvard,5,Already knew them before coming to Harvard,5,Already knew them before coming to Harvard,4,Club/co-curricular activity,4,Shared club/co-curricular activity,8,The courtyard of your house/dorm,Satisfied,755,214,433,490,520,450
No,The Yard,Suitemates,Female,Black or African American,FUP: First-Year Urban Program,No,Friend of a friend,Already knew them before coming to Harvard,5,Friend of a friend,4,Friend of a friend,5,Friend of a friend,5,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",10,A restaurant in the area,Very Satisfied,152,73,438,1035,435,73
No,The Yard,Suitemates,Female,Black or African American,FAP: First-Year Arts Program,No,Already knew them before coming to Harvard,"Social media (GroupMe, Instagram, Discord, etc.)",5,"In-person (The courtyard, the line at the dining hall, etc.)",5,"NA",4,Roommate/Suitemate,3,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",8,Exploring the area,Very Satisfied,265,663,441,989,171,663
No,The Yard,Suitemates,Female,Black or African American,FUP: First-Year Urban Program,No,Roommate/Suitemate,Roommate/Suitemate,4,Already knew them before coming to Harvard,3,Friend of a friend,3,Already knew them before coming to Harvard,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",8,A restaurant in the area,Neutral,181,565,443,83,425,645
Yes,A River House,Suitemates,Female,Other,FOP: First-Year Outdoor Program,Yes (Club),"Living in close proximity (same floor, same house, etc.)","Living in close proximity (same floor, same house/dorm, etc.)",3,Pre-orientation program,4,Zoom lecture,4,Friend of a friend,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",13,The Yard,Satisfied,720,156,444,93,273,48
No,The Yard,Suitemates,Male,Other,None,No,"Living in close proximity (same floor, same house, etc.)",Roommate/Suitemate,4,Already knew them before coming to Harvard,4,"Living in close proximity (same floor, same house/dorm, etc.)",4,"Living in close proximity (same floor, same house/dorm, etc.)",3,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",1,The Square,Satisfied,135,362,445,144,291,73
No,Other,Single,Male,Asian,FUP: First-Year Urban Program,Yes (Club),"Living in close proximity (same floor, same house, etc.)","Living in close proximity (same floor, same house/dorm, etc.)",3,"In-person (The courtyard, the line at the dining hall, etc.)",3,"Living in close proximity (same floor, same house/dorm, etc.)",3,Already knew them before coming to Harvard,2,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",2,Exploring the area,Neutral,79,226,446,925,1004,79
No,Union Dorm,Single,Male,Other,FAP: First-Year Arts Program,No,"Social media (GroupMe, Instagram, Discord, etc.)",Breakout room of a class,5,Friend of a friend,3,Already knew them before coming to Harvard,1,Pre-orientation program,1,"Social media (GroupMe, Instagram, Discord, texting, etc.)",1,The Square,Dissatisfied,833,694,451,364,546,865
No,The Yard,Suitemates,Female,Asian,LIFE: Leadership Institute for the First-Year Experience,No,Friend of a friend,Friend of a friend,4,Friend of a friend,4,"Social media (GroupMe, Instagram, Discord, etc.)",4,"Social media (GroupMe, Instagram, Discord, etc.)",3,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",10,The River,Very Satisfied,196,289,452,1040,190,718
No,The Yard,Single,Female,Black or African American,None,Yes (Varsity),Already knew them before coming to Harvard,Friend of a friend,5,Friend of a friend,4,Friend of a friend,4,Already knew them before coming to Harvard,5,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",0,Indoor gatherings,Very Satisfied,400,425,458,767,949,289
No,A River House,Suitemates,Female,White,None,No,"Social media (GroupMe, Instagram, Discord, etc.)","Social media (GroupMe, Instagram, Discord, etc.)",4,"Social media (GroupMe, Instagram, Discord, etc.)",4,Roommate/Suitemate,2,"Social media (GroupMe, Instagram, Discord, etc.)",3,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",0,Exploring the area,Dissatisfied,125,511,459,538,74,645
No,The Yard,Suitemates,Female,Hispanic or Latino,FOP: First-Year Outdoor Program,No,Already knew them before coming to Harvard,Already knew them before coming to Harvard,4,Already knew them before coming to Harvard,4,"Social media (GroupMe, Instagram, Discord, etc.)",2,Already knew them before coming to Harvard,1,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",0,The Yard,Neutral,280,505,470,988,376,289
No,A River House,Suitemates,Female,White,None,Yes (Club),Roommate/Suitemate,Roommate/Suitemate,5,"Living in close proximity (same floor, same house/dorm, etc.)",5,"Living in close proximity (same floor, same house/dorm, etc.)",5,Friend of a friend,5,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",1,The courtyard of your house/dorm,Satisfied,211,420,472,62,275,420
No,The Yard,Suitemates,Female,White,None,No,"Living in close proximity (same floor, same house, etc.)","Social media (GroupMe, Instagram, Discord, etc.)",4,Friend of a friend,4,Friend of a friend,4,Friend of a friend,3,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",1,The Yard,Satisfied,547,415,475,938,971,415
No,Union Dorm,Suitemates,Female,Hispanic or Latino,None,No,Friend of a friend,Roommate/Suitemate,3,Friend of a friend,4,Roommate/Suitemate,2,Friend of a friend,2,Hang out in room/suite,0,Indoor gatherings,Very Dissatisfied,667,727,483,75,770,318
No,A River House,Suitemates,Female,Black or African American,FOP: First-Year Outdoor Program,No,Friend of a friend,Already knew them before coming to Harvard,4,"Social media (GroupMe, Instagram, Discord, etc.)",5,Roommate/Suitemate,3,"Living in close proximity (same floor, same house/dorm, etc.)",3,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",3,The Square,Dissatisfied,317,551,484,327,503,119
